label,score
0.000000,0.175834
0.000000,0.174991
0.000000,0.299024
0.000000,0.176674
0.000000,0.285343
0.000000,0.175455
0.000000,0.149372
0.000000,0.145184
0.000000,0.317502
0.000000,0.152795
0.000000,0.286517
0.000000,0.142188
0.000000,0.165283
0.000000,0.163023
0.000000,0.249094
0.000000,0.162771
0.000000,0.227710
0.000000,0.159400
0.000000,0.137032
0.000000,0.135684
0.000000,0.333091
0.000000,0.139691
0.000000,0.328680
0.000000,0.133614
0.000000,0.162526
0.000000,0.160777
0.000000,0.311606
0.000000,0.162433
0.000000,0.284515
0.000000,0.160080
0.000000,0.156958
0.000000,0.153811
0.000000,0.238008
0.000000,0.156570
0.000000,0.199385
0.000000,0.152082
0.000000,0.161241
0.000000,0.158121
0.000000,0.310009
0.000000,0.162468
0.000000,0.287822
0.000000,0.156192
0.000000,0.132289
0.000000,0.131066
0.000000,0.333510
0.000000,0.141375
0.000000,0.331771
0.000000,0.129461
0.000000,0.167768
0.000000,0.164109
0.000000,0.292988
0.000000,0.166700
0.000000,0.272468
0.000000,0.158746
0.000000,0.162333
0.000000,0.159363
0.000000,0.325456
0.000000,0.161987
0.000000,0.300463
0.000000,0.157660
1.000000,0.202602
1.000000,0.200479
1.000000,0.233553
1.000000,0.200343
1.000000,0.215907
1.000000,0.198702
1.000000,0.329469
1.000000,0.324157
1.000000,0.330107
1.000000,0.318809
1.000000,0.319679
1.000000,0.322525
1.000000,0.266180
1.000000,0.265690
1.000000,0.265202
1.000000,0.268866
1.000000,0.268790
1.000000,0.263487
1.000000,0.182675
1.000000,0.182164
1.000000,0.318692
1.000000,0.180286
1.000000,0.304980
1.000000,0.179522
1.000000,0.286166
1.000000,0.284251
1.000000,0.302519
1.000000,0.285815
1.000000,0.296262
1.000000,0.280414
1.000000,0.156430
1.000000,0.153539
1.000000,0.292764
1.000000,0.154797
1.000000,0.279951
1.000000,0.154146
1.000000,0.328216
1.000000,0.324618
1.000000,0.335587
1.000000,0.327700
1.000000,0.324432
1.000000,0.316235
1.000000,0.237714
1.000000,0.238086
1.000000,0.284300
1.000000,0.235397
1.000000,0.267660
1.000000,0.236005
1.000000,0.306456
1.000000,0.302721
1.000000,0.296690
1.000000,0.303501
1.000000,0.293891
1.000000,0.301070
1.000000,0.212982
1.000000,0.210317
1.000000,0.215928
1.000000,0.207441
1.000000,0.208113
1.000000,0.206912
1.000000,0.196111
1.000000,0.191934
1.000000,0.329206
1.000000,0.195943
1.000000,0.321540
1.000000,0.188450
1.000000,0.340000
1.000000,0.334317
1.000000,0.325521
1.000000,0.325202
1.000000,0.321350
1.000000,0.328246
1.000000,0.181675
1.000000,0.176821
1.000000,0.330981
1.000000,0.172330
1.000000,0.304978
1.000000,0.172780
1.000000,0.340707
1.000000,0.337328
1.000000,0.322588
1.000000,0.334645
1.000000,0.327046
1.000000,0.329909
1.000000,0.195834
1.000000,0.192660
1.000000,0.281306
1.000000,0.194323
1.000000,0.262596
1.000000,0.190202
