label,score
0.000000,0.169085
0.000000,0.164022
0.000000,0.206050
0.000000,0.420193
0.000000,0.405195
0.000000,0.166387
0.000000,0.218864
0.000000,0.220808
0.000000,0.259487
0.000000,0.277537
0.000000,0.279789
0.000000,0.217759
0.000000,0.208330
0.000000,0.207441
0.000000,0.246582
0.000000,0.294566
0.000000,0.290313
0.000000,0.215303
0.000000,0.161871
0.000000,0.156958
0.000000,0.185979
0.000000,0.276130
0.000000,0.261301
0.000000,0.161460
0.000000,0.182113
0.000000,0.179933
0.000000,0.219689
0.000000,0.392971
0.000000,0.379940
0.000000,0.179830
0.000000,0.209852
0.000000,0.209397
0.000000,0.225432
0.000000,0.289674
0.000000,0.277263
0.000000,0.208237
0.000000,0.148897
0.000000,0.150086
0.000000,0.188015
0.000000,0.394430
0.000000,0.387320
0.000000,0.167089
0.000000,0.210670
0.000000,0.211974
0.000000,0.234423
0.000000,0.283116
0.000000,0.271352
0.000000,0.210177
0.000000,0.120383
0.000000,0.118217
0.000000,0.174848
0.000000,0.384824
0.000000,0.374291
0.000000,0.145428
0.000000,0.105177
0.000000,0.100851
0.000000,0.174087
0.000000,0.386220
0.000000,0.395998
0.000000,0.156356
0.000000,0.205492
0.000000,0.203935
0.000000,0.217160
0.000000,0.312202
0.000000,0.298441
0.000000,0.197044
0.000000,0.125811
0.000000,0.124703
0.000000,0.179140
0.000000,0.374348
0.000000,0.361168
0.000000,0.163871
1.000000,0.203598
1.000000,0.202965
1.000000,0.224779
1.000000,0.282816
1.000000,0.295651
1.000000,0.209016
1.000000,0.189000
1.000000,0.187415
1.000000,0.208054
1.000000,0.288068
1.000000,0.277613
1.000000,0.190986
1.000000,0.131969
1.000000,0.110567
1.000000,0.181211
1.000000,0.413539
1.000000,0.402805
1.000000,0.174927
1.000000,0.186750
1.000000,0.187509
1.000000,0.229719
1.000000,0.283709
1.000000,0.288296
1.000000,0.189553
1.000000,0.149089
1.000000,0.141636
1.000000,0.173626
1.000000,0.385261
1.000000,0.379145
1.000000,0.163724
1.000000,0.161527
1.000000,0.152432
1.000000,0.191580
1.000000,0.322242
1.000000,0.317897
1.000000,0.182453
1.000000,0.192284
1.000000,0.189305
1.000000,0.241016
1.000000,0.301052
1.000000,0.301354
1.000000,0.187473
1.000000,0.128646
1.000000,0.119793
1.000000,0.168687
1.000000,0.410350
1.000000,0.402357
1.000000,0.147638
1.000000,0.201496
1.000000,0.200314
1.000000,0.215277
1.000000,0.327985
1.000000,0.319606
1.000000,0.198159
1.000000,0.189832
1.000000,0.189278
1.000000,0.214185
1.000000,0.291251
1.000000,0.280749
1.000000,0.197584
1.000000,0.206494
1.000000,0.206504
1.000000,0.224147
1.000000,0.320463
1.000000,0.316081
1.000000,0.209705
1.000000,0.205443
1.000000,0.202710
1.000000,0.207945
1.000000,0.275509
1.000000,0.270130
1.000000,0.202762
1.000000,0.122857
1.000000,0.123140
1.000000,0.174239
1.000000,0.406159
1.000000,0.393307
1.000000,0.142547
1.000000,0.169826
1.000000,0.163062
1.000000,0.218109
1.000000,0.423942
1.000000,0.416111
1.000000,0.185536
1.000000,0.216666
1.000000,0.208799
1.000000,0.236364
1.000000,0.301822
1.000000,0.293711
1.000000,0.208069
